void_id,void_index,redshift,radius_hmpc_assumed,center_dist_hmpc,x_over_Rv,valid_shell_samples,center_delta_gstar,shell_delta_mean,shell_delta_median,shell_delta_p84,monopole_outflow_kms,raw_mean_outflow_kms,dipole_rms_kms,quadrupole_rms_kms,residual_rms_kms,outer_delta_2p5R,void_class,low_quadrupole_shear
7803.0,3,0.02935,5.57,87.46200332440876,2.0,256,0.5306700587178388,-0.04672573024011345,-0.28066654393994706,0.5113454143358469,-4.486259618991354,-4.464383734865908,59.31795380735249,65.27028721227056,19.284435064341697,-0.014094187179231443,void_in_void,False
7803.0,3,0.02935,5.57,87.46200332440876,2.5,256,0.5306700587178388,-0.014094187179231443,-0.26933242554925885,0.7191180960395986,0.16411826436906155,0.17949814095647554,79.47455497565163,55.21266707022514,20.1148863361683,-0.014094187179231443,void_in_void,False
10930.0,4,0.04535,5.66,134.69260872361804,0.8,256,1.155150349445778,1.1140303079324272,1.1193231145423823,2.0217321146554856,-73.12139191238856,-73.13039817102921,44.78408022343916,54.95202171323005,16.47186642922516,0.5211342887322161,void_in_cloud_or_compensated,False
10930.0,4,0.04535,5.66,134.69260872361804,1.0,256,1.155150349445778,1.0936991882445466,1.0088757600281575,2.170520357492302,-90.29847073816322,-90.31175876055995,68.09067910074319,61.76647100320361,22.449204133704285,0.5211342887322161,void_in_cloud_or_compensated,False
10930.0,4,0.04535,5.66,134.69260872361804,1.25,256,1.155150349445778,1.0557223665019093,0.8559397386256536,2.357916161850499,-110.7197342775706,-110.73821931740903,102.20037872201347,65.4978133199212,28.878200553246536,0.5211342887322161,void_in_cloud_or_compensated,False
10930.0,4,0.04535,5.66,134.69260872361804,1.5507603954646239,256,1.155150349445778,0.9706069617570435,0.6164699217881238,2.5169128953950253,-132.41973787067496,-132.4431739281162,147.48061411110027,64.05842216288993,34.22109447257161,0.5211342887322161,void_in_cloud_or_compensated,False
10930.0,4,0.04535,5.66,134.69260872361804,2.0,256,1.155150349445778,0.785310913354057,0.2848680734908863,2.410720865507177,-155.35540643722678,-155.38320657714326,212.35126158775736,59.33093245741748,38.76635669060845,0.5211342887322161,void_in_cloud_or_compensated,False
10930.0,4,0.04535,5.66,134.69260872361804,2.5,256,1.155150349445778,0.5211342887322161,0.04605021340713455,1.8021204853355963,-162.7750766968305,-162.80579323054886,263.12549328773105,62.390591752726706,44.42384738788384,0.5211342887322161,void_in_cloud_or_compensated,False
12973.0,5,0.01533,5.12,45.814890065672905,0.8,256,1.0296987848050485,0.8737820441792282,0.6917044751158157,1.6338199747711764,-54.76355346697281,-54.74425802251358,35.038304775866514,36.0041919111327,6.613870622205921,0.003489968255155587,void_in_cloud_or_compensated,False
12973.0,5,0.01533,5.12,45.814890065672905,1.0,256,1.0296987848050485,0.7847132570380662,0.5428991797962655,1.6382454280091516,-64.52988491028472,-64.50438099097045,51.07936497399376,42.57362438035087,9.468966974897246,0.003489968255155587,void_in_cloud_or_compensated,False
12973.0,5,0.01533,5.12,45.814890065672905,1.25,256,1.0296987848050485,0.6515344593497137,0.40105978886135285,1.4814416858944448,-73.16643326060674,-73.1336870065291,71.83775739075962,50.512107835107905,13.219442213718928,0.003489968255155587,void_in_cloud_or_compensated,False
12973.0,5,0.01533,5.12,45.814890065672905,1.5507603954646239,256,1.0296987848050485,0.4755590516441054,0.2554708548541362,1.3452797029660248,-77.65372952986091,-77.61405987549051,94.93364624732875,60.00592747892304,17.471035277491648,0.003489968255155587,void_in_cloud_or_compensated,False
12973.0,5,0.01533,5.12,45.814890065672905,2.0,256,1.0296987848050485,0.22356590857976558,0.05096613935817468,1.0277275871727545,-72.88867057248471,-72.84356321649057,120.94518771867196,72.3849234240742,23.031993700510373,0.003489968255155587,void_in_cloud_or_compensated,False
12973.0,5,0.01533,5.12,45.814890065672905,2.5,256,1.0296987848050485,0.003489968255155587,-0.14850633611524977,0.6614919495952064,-55.45407103346389,-55.40842581519236,137.72091607840656,81.44894425725795,28.951282920001255,0.003489968255155587,void_in_cloud_or_compensated,False
15474.0,6,0.04567,7.32,135.63395653603888,0.8,256,0.06879607018775205,0.3404867696558102,0.3105978080968569,0.8747335322654755,-20.47709301788414,-20.458666780285483,33.962917660359615,78.96920955750323,17.593058239985655,0.4696999172438063,void_in_cloud_or_compensated,False
15474.0,6,0.04567,7.32,135.63395653603888,1.0,256,0.06879607018775205,0.42864014757943775,0.38130899222639736,1.0546611851943548,-32.97328671635756,-32.95298192165408,50.25236077011937,91.82143614097488,24.804171557630234,0.4696999172438063,void_in_cloud_or_compensated,False
15474.0,6,0.04567,7.32,135.63395653603888,1.25,256,0.06879607018775205,0.4960790157758172,0.4703530941632156,1.1654407303426206,-50.96226962661247,-50.94108740065697,69.88165721761216,103.61170103046302,35.44433540525581,0.4696999172438063,void_in_cloud_or_compensated,False
15474.0,6,0.04567,7.32,135.63395653603888,1.5507603954646239,256,0.06879607018775205,0.504398719106266,0.5910534059796188,1.1400590293374688,-72.10310575275655,-72.08210203886904,86.53919263398288,112.33576566282002,50.709557389947065,0.4696999172438063,void_in_cloud_or_compensated,False
15474.0,6,0.04567,7.32,135.63395653603888,2.0,256,0.06879607018775205,0.46899421497297283,0.5050202364205018,1.1385725634012744,-97.09247860607684,-97.07011198118404,88.94336829000191,116.73693060214175,71.2462082699535,0.4696999172438063,void_in_cloud_or_compensated,False
15474.0,6,0.04567,7.32,135.63395653603888,2.5,256,0.06879607018775205,0.4696999172438063,0.20053772495227332,1.3583080314620246,-121.7370358444419,-121.70451050298865,74.27507751571223,116.54925133849981,84.68519681027476,0.4696999172438063,void_in_cloud_or_compensated,False
13441.0,7,0.04014,6.26,119.348238775516,0.8,256,0.2577663694617472,0.34475333506140965,0.2457082971754349,0.6966102719495704,-23.1208797556131,-23.1273766037191,17.719023345496073,41.34677822280871,10.749837936964846,-0.2774998632700504,void_in_void,False
13441.0,7,0.04014,6.26,119.348238775516,1.0,256,0.2577663694617472,0.34239194638688764,0.22428518393584435,0.7527963715317791,-29.858599448007936,-29.867373989090172,27.32229059242223,43.60823933350503,13.647010748623936,-0.2774998632700504,void_in_void,False
13441.0,7,0.04014,6.26,119.348238775516,1.25,256,0.2577663694617472,0.29439534400989886,0.17610925748902068,0.7116260821420225,-36.61081244615218,-36.6225448600044,40.881429330208576,42.4601414041983,15.700943936273218,-0.2774998632700504,void_in_void,False
13441.0,7,0.04014,6.26,119.348238775516,1.5507603954646239,256,0.2577663694617472,0.17717336731245464,0.031297722706843126,0.6843555313184475,-39.354309988468145,-39.36913475739377,57.15699287783741,39.303623970207646,16.686851473403525,-0.2774998632700504,void_in_void,False
13441.0,7,0.04014,6.26,119.348238775516,2.0,256,0.2577663694617472,-0.059824047198418724,-0.2227308064263912,0.3514866042344383,-28.44708144256354,-28.46352400219448,74.73458010066744,39.58170079688267,18.5780314234776,-0.2774998632700504,void_in_void,False
13441.0,7,0.04014,6.26,119.348238775516,2.5,256,0.2577663694617472,-0.2774998632700504,-0.39141818003751294,0.03727528886218496,1.9678700505362245,1.9549863847987918,78.9138410849426,45.501781788698324,23.21705695789703,-0.2774998632700504,void_in_void,False
14232.0,8,0.04594,7.5,136.42811882487013,0.8,256,-0.376420938217246,-0.31833568188172356,-0.3636313557126303,-0.05467816744801298,28.60863335715936,28.60629523610745,17.771141003176083,41.950286195503374,8.539562223000017,-0.19498644472502727,void_in_void,False
14232.0,8,0.04594,7.5,136.42811882487013,1.0,256,-0.376420938217246,-0.3195366176301424,-0.3536690969856223,-0.038008089106548223,34.92205900206535,34.92049076994587,25.12518863321259,50.742769348311114,12.744400586856075,-0.19498644472502727,void_in_void,False
14232.0,8,0.04594,7.5,136.42811882487013,1.25,256,-0.376420938217246,-0.33758028316254995,-0.34612704300199315,-0.0788207887106147,43.802992837664846,43.80267943000574,33.359895688616284,61.468422265096144,18.72409064637198,-0.19498644472502727,void_in_void,False
14232.0,8,0.04594,7.5,136.42811882487013,1.5507603954646239,256,-0.376420938217246,-0.3580532539499676,-0.3695911654277706,-0.14615895832203474,56.162880760798956,56.164434956616354,40.244386654213415,74.36481693958456,26.263412700425185,-0.19498644472502727,void_in_void,False
